,query,rel,docid
788,Data Structures,5,2050576295
882,Enterprise Resource Planning,5,2146740775
1618,Network Management,4,2216728905
1041,Autonomous Systems,1,2578761269
868,E-learning Technologies,5,2999649893
254,Algorithm Design,2,1908804015
386,Deep Learning,4,2908055926
1942,User Interface Design,1,1986058343
1313,Web Services,4,2099290966
401,Semantic Web,5,1995521835
1822,Software Quality Assurance,3,2006425068
1130,Content Delivery Networks,5,2588220790
516,Computer Graphics,5,2137297153
1036,Autonomous Systems,2,2899116309
1331,Workflow Management,5,2015234709
705,Wireless Communications,3,2135019170
971,IT Governance,5,2019667078
1322,Enterprise Resource Planning,5,2118467648
1257,Discrete Mathematics,1,2045097502
1524,Knowledge Discovery,4,3004891819
993,Knowledge Discovery,4,2125227861
1641,Object-Oriented Programming,5,2997415251
1245,Text Analytics,4,2983594740
1404,Graph Algorithms,5,358088974
1139,Program Analysis,3,2103820503
1727,Program Analysis,4,2169589594
183,Cloud Computing,5,2131646073
1836,Software Quality Assurance,1,1827739142
1038,Autonomous Systems,2,2102290297
1237,System Integration,3,1967190700
956,Digital Forensics,5,2998078092
2,Natural Language Processing,4,1658342862
2032,Workflow Management,3,2081587383
662,E-learning Technologies,2,2109110013
114,Quantum Computing,3,2136744126
1060,Mobile Application Development,2,1580659323
284,Software Engineering,5,2082303393
119,Quantum Computing,1,2906133437
1556,Location-Based Services,3,2035311901
1554,Location-Based Services,4,1526112345
1772,Scientific Computing,1,2170901118
646,Computer Architecture,3,3000387718
689,Operating Systems,1,2022758041
1826,Software Quality Assurance,2,2018366044
433,Computer Architecture,4,2160175950
659,Digital Forensics,1,2148097183
447,Distributed Systems,3,2096870603
1253,Discrete Mathematics,2,2012840026
783,Artificial Intelligence Ethics,5,2757072513
1810,Sensor Networks,1,2111742919
357,Game Development,3,2080395944
1094,Object-Oriented Programming,2,2014078287
497,Mobile Computing,3,2041318031
1432,Graph Algorithms,1,2016289973
343,Computer Graphics,1,1897905128
959,Digital Forensics,3,2125767749
1239,Text Analytics,5,40563694
685,Operating Systems,1,3003271765
952,Health Informatics,5,2560692704
1927,User Interface Design,3,1991658485
293,Software Engineering,4,2146773231
1758,Scientific Computing,4,2150610576
1549,Location-Based Services,5,1866598436
658,Digital Forensics,1,1229193984
125,Internet of Things,2,1519565400
1945,Virtualization Technology,5,2555751285
706,Wireless Communications,3,2143447102
1065,Mobile Application Development,1,1577616794
102,Virtual Reality,1,1972598978
539,Computer Graphics,2,2076471588
1987,Web Services,5,2171500111
1868,Supply Chain Management Systems,5,1965110522
169,Internet of Things,3,2402775047
1653,Object-Oriented Programming,3,2170108788
173,Big Data Analytics,5,132173676
1476,Information Security,3,1964165805
1267,User Interface Design,2,2017943992
726,Compiler Design,4,2126605567
1936,User Interface Design,1,2031870952
211,Cybersecurity,3,2101412221
1246,Digital Image Processing,3,1980422153
670,Operating Systems,3,2109488945
647,Computational Chemistry,2,2033952216
38,Machine Learning,1,1529355025
223,Reinforcement Learning,5,1977655452
326,Database Systems,4,3000732711
836,Pattern Recognition,1,2101040242
443,Distributed Systems,4,2997644899
142,Performance Engineering,5,2148099808
229,Bioinformatics,3,2021210077
912,Ubiquitous Computing,2,2042970598
898,Evolutionary Computation,3,2143628939
1550,Location-Based Services,5,2044110164
1867,Supply Chain Management Systems,5,2762451295
1825,Software Quality Assurance,2,1996410435
1840,Software Testing,4,2005403724
1295,Visual Analytics,4,2602814102
1252,Discrete Mathematics,3,1568808378
1789,Sensor Networks,3,2127949150
1896,System Integration,2,2004891041
932,Grid Computing,4,2105331421
1712,Program Analysis,5,2514084604
815,Data Structures,1,2002576214
707,Wireless Communications,2,2132818688
1,Natural Language Processing,5,1542598926
596,Ubiquitous Computing,2,2097842516
766,High-Performance Computing,4,2050243183
1760,Scientific Computing,3,1967675616
1395,Gesture Recognition,2,3005715765
1114,Performance Engineering,5,2010636948
1634,Network Management,2,1969593871
1998,Web Services,3,2998790953
1235,Database Management Systems,2,1967538043
1196,Software Quality Assurance,2,2555441480
1755,Risk Management Systems,2,3007644351
205,Software Engineering,1,2153137733
730,Compiler Design,4,2098884586
751,Compiler Design,1,1989518537
1361,Evolutionary Computation,3,2011174137
352,Database Systems,2,2998356684
715,Wireless Communications,1,2542429611
1543,Location-Based Services,5,2142117272
1591,Mobile Application Development,5,2167293777
777,High-Performance Computing,2,2092633783
1386,Gesture Recognition,3,2051234496
1906,Text Analytics,4,2062052951
1054,Business Intelligence,3,2114320353
1411,Graph Algorithms,4,2074556793
1507,IT Governance,3,1973908698
1517,Knowledge Discovery,5,2101103738
751,Complex Systems,2,2158316863
1608,Mobile Application Development,2,1917088284
318,Mobile Computing,2,220861558
1644,Object-Oriented Programming,5,2041679431
1791,Sensor Networks,3,2170239483
1459,Information Security,4,2996885508
1248,Text Analytics,3,2891870102
1281,Virtualization Technology,1,2149475186
1767,Scientific Computing,2,2054652902
1136,Content Delivery Networks,4,1987909262
866,Web Development Technologies,2,2999649893
1721,Program Analysis,4,2158047578
1963,Visual Analytics,4,3002947373
1855,Software Testing,2,2032401275
1283,Distributed Databases,4,2997323992
1144,Content Delivery Networks,2,2740796766
594,Neural Networks,1,2118553088
1806,Sensor Networks,2,2137486085
1173,Search Engine Optimization,4,2511831311
1894,System Integration,3,2012049660
14,Information Retrieval,3,2039798050
111,Quantum Computing,5,2047131277
1105,Complex Systems,1,2003756933
618,Semantic Web,5,2132573925
941,Grid Computing,2,2128391206
1596,Mobile Application Development,4,1998821658
2029,Workflow Management,4,2131676541
1123,Computer Aided Engineering,2,2059367137
233,Bioinformatics,2,2096540950
433,Distributed Systems,5,2085410041
949,Grid Computing,1,1996685426
439,Distributed Systems,4,3005494496
1160,Scientific Computing,4,2130062566
1113,Computational Finance,3,1979630192
1597,Mobile Application Development,4,1794179200
1042,Autonomous Systems,1,2578761269
1693,Online Learning Environments,1,2111070742
2046,Workflow Management,1,2011893902
559,Web Development Technologies,2,2020602335
876,Green Computing,4,565292247
1888,System Dynamics,1,1539477377
553,Game Development,4,1975911483
849,Web Development Technologies,5,3000714879
2008,Web Services,1,2167928477
227,Bioinformatics,4,1975975525
636,Grid Computing,1,60075760
406,Semantic Web,4,2133959199
846,Database Management Systems,1,2138356326
1938,User Interface Design,1,2000758639
418,Parallel Computing,2,2147586798
991,Knowledge Discovery,5,1761022139
462,System Integration,5,1992178984
1828,Software Quality Assurance,1,2110967855
432,Distributed Systems,5,2098035530
1636,Network Management,1,2157388764
1261,Discrete Mathematics,1,1995228121
1607,Mobile Application Development,2,1971071769
290,Distributed Systems,2,2067580212
1251,Discrete Mathematics,3,2155433233
1474,Information Security,3,2181301463
71,Data Mining,2,2149991234
363,Game Development,2,2088583180
1280,Distributed Databases,5,2997992006
543,Computer Graphics,1,2014893164
419,Parallel Computing,2,2008806816
749,Complex Systems,3,2103604870
832,Pattern Recognition,4,1520188839
801,Data Structures,3,2085933841
862,Web Development Technologies,3,2042486711
1166,Data Structures,4,2103913570
957,Digital Forensics,5,2119668875
375,Database Systems,1,125925666
1004,Knowledge Discovery,2,2001615232
1101,Complex Systems,3,1898449201
1379,Gesture Recognition,3,2151889438
500,Mobile Computing,2,1970762689
889,Ubiquitous Computing,4,2164730733
950,Graph Algorithms,1,1583621404
1078,Cloud Data Management,4,2113655077
165,Algorithm Design,2,1993504147
228,Bioinformatics,4,2021210077
184,Cloud Computing,3,1970777180
1702,Performance Engineering,1,3004741385
770,High-Performance Computing,3,2150697658
1612,Mobile Application Development,1,2582705253
1228,Database Management Systems,3,3005086224
1106,Complex Systems,1,2011217931
1708,Program Analysis,5,1983520997
93,Blockchain Technology,3,2743557879
779,Content Delivery Networks,2,2069200608
38,Information Retrieval,2,2075893676
845,E-commerce Technology,2,2067775595
1590,Mobile Application Development,5,2037272049
1497,IT Governance,5,1992568658
545,E-commerce Technology,2,2974516095
1468,Information Security,4,2998349762
324,Mobile Computing,1,2006803879
272,Big Data Analytics,3,2583397869
362,Game Development,2,2586996617
1050,Mobile Application Development,5,2750787519
662,Operating Systems,5,2053741629
1234,System Integration,4,2157251480
1401,Graph Algorithms,5,107790154
700,Business Intelligence,5,1977577597
374,Computational Biology,4,2033837064
713,Wireless Communications,1,2157326466
1643,Object-Oriented Programming,5,1739798036
1371,Gesture Recognition,5,2048453690
2050,XML Technologies,5,2031365811
617,Reinforcement Learning,1,2103285838
214,Robotics,5,2131444840
1949,Virtualization Technology,3,2030397135
1058,Business Intelligence,2,2005151080
340,Computer Graphics,2,2104587129
1172,Data Structures,4,2142947709
521,Computer Graphics,4,2093977209
816,Embedded Systems,2,1974386611
910,Gesture Recognition,3,2128286222
24,Information Retrieval,5,2110933113
506,Computer Architecture,2,2104237724
1284,Distributed Databases,4,2050035506
972,IT Governance,5,2021847220
1037,Autonomous Systems,2,2739957299
1317,Enterprise Resource Planning,5,1536465007
1230,Supply Chain Management Systems,1,2164251034
1629,Network Management,2,2100035808
1123,Program Analysis,5,1494768888
839,E-commerce Technology,4,2061835791
1813,Sensor Networks,1,2080588485
150,Augmented Reality,5,1584463566
541,E-commerce Technology,4,1816040718
1594,Mobile Application Development,5,2996854669
366,Database Systems,1,2093583339
1342,Enterprise Resource Planning,2,2087862203
513,Mobile Computing,1,2153906599
618,Workflow Management,4,2025577327
1762,Scientific Computing,3,1598149995
1186,Data Structures,2,2152686702
1229,Database Management Systems,3,1978505459
1398,Gesture Recognition,1,2397514536
938,Grid Computing,3,2073897805
